nuts,cum_positive,cum_deceased,cum_recovered,curr_positive,hospitalized,intensive_care,iso3,country_name,EUCountry,EUCPMCountry,date
ITC4,478903.0,25123.0,399157.0,54623.0,3926.0,489.0,ITA,Italy,True,True,2020-12-31
ITH3,253875.0,6539.0,156263.0,91073.0,3059.0,361.0,ITA,Italy,True,True,2020-12-31
ITH5,171512.0,7738.0,106428.0,57346.0,2862.0,233.0,ITA,Italy,True,True,2020-12-31
ITH1,29494.0,739.0,18729.0,10669.0,185.0,26.0,ITA,Italy,True,True,2020-12-31
ITG1,93644.0,2412.0,57364.0,33868.0,1240.0,171.0,ITA,Italy,True,True,2020-12-31
AT11,9438.0,174.0,8670.0,594.0,nan,nan,AUT,Austria,True,True,2020-12-31
AT22,42538.0,1390.0,37648.0,3557.0,322.0,65.0,AUT,Austria,True,True,2020-12-31
AT33,40460.0,523.0,38102.0,1836.0,102.0,36.0,AUT,Austria,True,True,2020-12-31
AT13,72564.0,1134.0,63653.0,7708.0,nan,nan,AUT,Austria,True,True,2020-12-31
ITF1,35314.0,1213.0,23028.0,11073.0,465.0,35.0,ITA,Italy,True,True,2020-12-31
ITF4,90964.0,2472.0,35490.0,53002.0,1619.0,129.0,ITA,Italy,True,True,2020-12-31
CH04,69517.0,921.0,0.0,68596.0,465.0,96.0,CHE,Switzerland,False,False,2020-12-31
ITF6,23920.0,472.0,14631.0,8817.0,261.0,18.0,ITA,Italy,True,True,2020-12-31
ES70,26859.0,415.0,1537.0,26444.0,3084.0,558.0,ESP,Spain,True,True,2020-12-31
ES41,132611.0,5081.0,8716.0,127530.0,18009.0,1335.0,ESP,Spain,True,True,2020-12-31
ES51,356724.0,8723.0,26203.0,348001.0,29773.0,2426.0,ESP,Spain,True,True,2020-12-31
ES30,399499.0,11828.0,40736.0,387671.0,54502.0,3867.0,ESP,Spain,True,True,2020-12-31
ES53,35569.0,469.0,1533.0,35100.0,3061.0,440.0,ESP,Spain,True,True,2020-12-31
CH06,33740.0,515.0,11583.0,22314.0,36.0,6.0,CHE,Switzerland,False,False,2020-12-31
ITH4,50027.0,1642.0,36587.0,11798.0,707.0,62.0,ITA,Italy,True,True,2020-12-31
NL13,13497.0,138.0,0.0,13359.0,262.0,nan,NLD,Netherlands,True,True,2020-12-31
ES52,148797.0,2941.0,9970.0,145856.0,16193.0,1681.0,ESP,Spain,True,True,2020-12-31
ES43,37208.0,1067.0,2652.0,36141.0,3594.0,311.0,ESP,Spain,True,True,2020-12-31
ES23,18426.0,586.0,3107.0,17840.0,2352.0,220.0,ESP,Spain,True,True,2020-12-31
ITF2,6528.0,191.0,4425.0,1912.0,61.0,10.0,ITA,Italy,True,True,2020-12-31
ITG2,31113.0,747.0,13913.0,16453.0,532.0,46.0,ITA,Italy,True,True,2020-12-31
ITH2,21840.0,942.0,19036.0,1862.0,422.0,42.0,ITA,Italy,True,True,2020-12-31
PT17,133739.0,2392.0,0.0,131347.0,nan,nan,PRT,Portugal,True,True,2020-12-31
ES24,80023.0,2634.0,3772.0,77389.0,9672.0,887.0,ESP,Spain,True,True,2020-12-31
ES11,61143.0,1379.0,9204.0,59764.0,7329.0,857.0,ESP,Spain,True,True,2020-12-31
