	cum_positive	cum_deceased	cum_recovered	curr_positive	hospitalized	intensive_care	iso3	country_name	EUCountry	EUCPMCountry	date	air_passengers.tsv	available_hospital_beds_nuts2.tsv	causes_of_death_crude_death_rate_3year_average_by_nuts2.tsv	compensation_of_employees_by_nuts2.tsv	deaths.tsv	early_leavers_from_education_and_training_by_sex_percentage_nuts2.tsv	employment_thousand_hours_worked_nuts2.tsv	farm_labour_force.tsv	health_personnel_by_nuts2.tsv	hospital_discharges_resp_diseases_j00_to_j99_nuts2.tsv	life_expectancy.tsv	longterm_care_beds_per_hundred_thousand_nuts2.tsv	nama_10r_2gdp.tsv	participation_in_education_and_training.tsv	population_nuts2.tsv	pop_density.tsv	pupils_and_students_enrolled_by_sex_age_and_nuts2.tsv	real_growth_rate_of_regional_gross_value_added_GVA_at_basic_prices_by_nuts2.tsv	stock_of_vehicles_by_category_and_nuts2.tsv	students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2.tsv	unemployment_rate_nuts2.tsv	utilised_agricultural_area.tsv	young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2.tsv	cum_positive_density	cum_deceased_density	cum_recovered_density
ITC4	478903.0	25123.0	399157.0	54623.0	3926.0	489.0	ITA	Italy	True	True	2020-12-31	49096.0	350.53	982.92	157914.2	99983.0	11.9	8286969.6	39630.0	36969.0	102187.0	84.2	692.69	398779.09	7.9	10027602.0	435.8	494636.0	106.4	6967861.0	328322.0	5.0	922320.0	15.7	0.04775847705164206	0.002505384637324058	0.039805827953682246
ITH3	253875.0	6539.0	156263.0	91073.0	3059.0	361.0	ITA	Italy	True	True	2020-12-31	18404.0	328.97	995.51	65182.8	48900.0	10.5	4000567.2	84040.0	16900.0	50431.0	84.3	739.19	164860.15	7.6	4879133.0	282.0	235939.0	105.3	3621253.0	120980.0	5.8	796250.0	12.6	0.052032809927501464	0.0013401971210868816	0.03202679656406169
ITH5	171512.0	7738.0	106428.0	57346.0	2862.0	233.0	ITA	Italy	True	True	2020-12-31	9905.0	371.56	1113.52	64216.8	50274.0	9.3	3713821.7	57200.0	19026.0	63764.0	84.0	488.43	163751.09	9.2	4464119.0	201.9	212847.0	106.3	3345612.0	169485.0	5.7	1034350.0	13.2	0.038420122761064386	0.0017333767312206507	0.023840762309427683
ITH1	29494.0	739.0	18729.0	10669.0	185.0	26.0	ITA	Italy	True	True	2020-12-31	37.0	349.97	826.12	9836.2	4454.0	14.2	538871.1	14860.0	1770.0	5716.0	84.5	754.85	25515.9	7.1	532644.0	72.2	27774.0	107.8	570247.0	4735.0	3.8	227900.0	10.4	0.05537281936903448	0.001387418238072709	0.03516232230157479
ITG1	93644.0	2412.0	57364.0	33868.0	1240.0	171.0	ITA	Italy	True	True	2020-12-31	18182.0	281.95	1027.28	35708.9	52405.0	19.4	2618000.7	133090.0	21163.0	41725.0	82.3	79.44	89365.04	4.7	4875290.0	192.1	237664.0	99.8	3787735.0	119324.0	17.9	1326110.0	29.3	0.019207883018240966	0.0004947398000939431	0.011766274416496249
AT11	9438.0	174.0	8670.0	594.0			AUT	Austria	True	True	2020-12-31		587.21	1120.95	4305.0	3393.0		203160.0	6510.0	1277.0	4061.0	81.9	730.84	9272.61	9.3	294436.0	77.8	10538.0	107.5	254828.0	6750.0	4.2	181970.0		0.032054504204648886	0.0005909603445230882	0.029446127511581464
AT22	42538.0	1390.0	37648.0	3557.0	322.0	65.0	AUT	Austria	True	True	2020-12-31	1035.0	801.3	1003.76	24503.0	12691.0	5.7	1023160.0	29780.0	6489.0	24786.0	82.2	1167.49	50830.4	11.3	1246395.0	76.6	44991.0	109.6	947061.0	62035.0	4.4	375180.0	7.6	0.034128827538621384	0.0011152162837623706	0.030205512698622827
AT33	40460.0	523.0	38102.0	1836.0	102.0	36.0	AUT	Austria	True	True	2020-12-31	1151.0	665.33	797.82	15832.0	6237.0	7.8	665850.0	12740.0	4452.0	15812.0	83.0	816.01	36382.23	11.0	757634.0	60.4	29067.0	109.1	504678.0	42025.0	3.0	259010.0	6.9	0.05340309437010483	0.0006903069292032828	0.05029077364532215
AT13	72564.0	1134.0	63653.0	7708.0			AUT	Austria	True	True	2020-12-31		751.91	857.68	48625.0	16150.0	10.6	1662610.0	490.0	13078.0	28651.0	81.1	521.17	100347.32	16.5	1911191.0	4808.9	72870.0	108.4	799636.0	192471.0	10.6	8020.0	9.9	0.03796794773520805	0.0005933472897266678	0.03330541008198552
ITF1	35314.0	1213.0	23028.0	11073.0	465.0	35.0	ITA	Italy	True	True	2020-12-31	699.0	293.07	1111.32	12901.0	14612.0	8.0	905173.3	41360.0	5498.0	13061.0	83.7	192.85	33130.95	6.9	1293941.0	120.5	57390.0	100.6	1025132.0	49265.0	9.3	424160.0	15.5	0.02729181624200794	0.0009374461432167309	0.017796792898594295
ITF4	90964.0	2472.0	35490.0	53002.0	1619.0	129.0	ITA	Italy	True	True	2020-12-31	8294.0	283.3	960.47	31460.7	39140.0	15.6	2451686.0	144230.0	15002.0	37705.0	83.7	212.46	77475.32	5.5	3953305.0	206.8	184553.0	103.1	2697746.0	91130.0	14.0	1184540.0	22.7	0.02300960841624919	0.0006252995911016226	0.008977298741179848
CH04	69517.0	921.0	0.0	68596.0	465.0	96.0	CHE	Switzerland	False	False	2020-12-31	31476.0	410.49	721.64		11305.0	4.1		3390.0	8061.0	14772.0	84.0	1239.85		32.9	1539275.0	925.1	91667.0			89703.0	4.3	73470.0	6.5	0.04516217050234688	0.0005983336310925598	0.0
ITF6	23920.0	472.0	14631.0	8817.0	261.0	18.0	ITA	Italy	True	True	2020-12-31	3536.0	248.18	1007.27	13009.7	20162.0	16.6	1077528.8	72600.0	7258.0	14485.0	82.8	197.66	33619.41	5.6	1894110.0	126.5	87937.0	99.2	1488082.0	46395.0	20.1	498400.0	26.5	0.012628622413692975	0.00024919355264477774	0.007724472179546067
ES70	26859.0	415.0	1537.0	26444.0	3084.0	558.0	ESP	Spain	True	True	2020-12-31	40035.0	290.96	744.08	21737.4	15756.0	18.2	1416989.8	10140.0	8765.0	22163.0	83.5	453.42	47164.2	10.2	2236992.0	299.4	125972.0	111.2	1583502.0	70349.0	22.6	52210.0	19.7	0.012006748347781307	0.0001855169799444969	0.0006870833690956427
ES41	132611.0	5081.0	8716.0	127530.0	18009.0	1335.0	ESP	Spain	True	True	2020-12-31	242.0	349.97	1214.06	25704.4	28719.0	15.4	1701302.1	77640.0	11200.0	37640.0	84.7	1141.96	59794.83	10.4	2401307.0	25.6	128342.0	108.0	1662819.0	109491.0	12.1	5295680.0	11.7	0.05522450898614796	0.002115931032558519	0.0036296899979885956
ES51	356724.0	8723.0	26203.0	348001.0	29773.0	2426.0	ESP	Spain	True	True	2020-12-31	54693.0	384.0	884.26	110681.0	64547.0	17.4	6151178.5	46940.0	37258.0	111764.0	84.3	869.04	236814.4	10.0	7652348.0	238.1	518479.0	110.7	4429223.0	379060.0	12.6	1125270.0	17.0	0.046616280388712066	0.0011399115670118504	0.0034241777817736463
ES30	399499.0	11828.0	40736.0	387671.0	54502.0	3867.0	ESP	Spain	True	True	2020-12-31	59747.0	273.1	706.52	117599.0	47165.0	10.0	5882698.4	6190.0	34800.0	93763.0	85.8	815.68	240129.72	12.4	6747068.0	839.7	444162.0	114.1	4625861.0	408905.0	12.5	304150.0	9.9	0.05921075643523972	0.001753057772650283	0.006037585511217613
ES53	35569.0	469.0	1533.0	35100.0	3061.0	440.0	ESP	Spain	True	True	2020-12-31	40285.0	287.46	696.86	14678.6	7995.0	21.3	893071.8	8570.0	4400.0	16863.0	84.2	488.01	33799.28	11.3	1210725.0	241.2	72230.0	112.9	894665.0	25261.0	16.1	176280.0	18.2	0.029378265089099506	0.0003873712032046914	0.0012661834851019017
CH06	33740.0	515.0	11583.0	22314.0	36.0	6.0	CHE	Switzerland	False	False	2020-12-31		330.39	732.25		5924.0	4.6		8780.0	2694.0	6416.0	84.4	1217.29		28.2	818962.0	191.9	48410.0			20917.0	2.9	132860.0	5.9	0.041198492726158234	0.0006288448059861142	0.014143513374246913
ITH4	50027.0	1642.0	36587.0	11798.0	707.0	62.0	ITA	Italy	True	True	2020-12-31	780.0	326.82	1174.2	16230.9	14318.0	8.5	927456.7	17660.0	4756.0	15689.0	83.9	738.95	38771.59	8.7	1206216.0	159.9	54321.0	103.3	907472.0	32982.0	5.6	211130.0	11.0	0.04147432963913594	0.001361281893126936	0.030332046664942266
NL13	13497.0	138.0	0.0	13359.0	262.0		NLD	Netherlands	True	True	2020-12-31	177.0		1080.19	7537.0	5143.0	6.5	323908.0	3470.0	1446.0	3841.0	81.9		15701.17	18.1	493682.0	184.5	32859.0	103.4	308291.0	14733.0	3.7	150220.0	5.6	0.02733946143468873	0.000279532168480925	0.0
ES52	148797.0	2941.0	9970.0	145856.0	16193.0	1681.0	ESP	Spain	True	True	2020-12-31	23401.0	231.9	913.8	52296.6	44016.0	15.5	3420227.5	93600.0	19660.0	62636.0	83.5	550.24	116015.25	12.0	5029341.0	216.2	328888.0	110.9	3161734.0	223082.0	16.2	637750.0	12.0	0.029585784698233825	0.000584768461712976	0.001982367073539058
